Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt,Student Mistake Prompt
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 5. Create a line plot.",Student draws a bar chart instead of a line plot.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student incorrectly thinks line plots can only display one number at a time.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.","Student thinks a line plot should connect all numbers with straight lines, regardless of the data points.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student thinks each number should be plotted as a separate distinct dot instead of connecting them with lines.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot representing the data.","Student tries to connect the numbers with dots but places them randomly on the plot, not understanding that the points should correspond to their values.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student thinks a line plot should connect points randomly instead of in order.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student thinks a line plot is supposed to show colors instead of data points.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 1, 2, 3. Create a line plot.",Student thinks a line plot is just a random collection of dots and doesn't connect them.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student thinks a line plot is just a series of dots and doesn't understand the need to connect them.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.","Student draws random dots without connecting them, thinking it's a dot plot instead of a line plot.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student believes that a line plot is only for connecting points and doesn't understand how to use segments to display the data points accurately.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student thinks a line plot should connect all points regardless of the data values.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student thinks line plots are only for showing pictures and cannot be used for numbers.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.","Student thinks that a line plot should only connect numbers in order, ignoring the data points that are the same.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student confuses a line plot with a bar graph and tries to create a bar graph instead.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 3, 2, 4. Create a line plot.",Student thinks that a line plot is the same as a bar graph and struggles to differentiate between the two.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student states that a line plot should only have one point for each number and doesn't understand how to connect the points.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student thinks a line plot should connect the dots in a drawing rather than represent data values.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student draws a line connecting the numbers directly instead of plotting points for each value.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.","Student thinks a line plot should connect all points with straight lines, but doesn't understand that it should represent the progression of the dataset instead.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student confuses line plots with bar graphs and tries to draw bars instead of a line.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student draws disconnected dots instead of connecting them with lines.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student thinks a line plot should connect all points in a zigzag pattern without considering the values.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student uses random dots instead of connecting the points to form a line.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.","Student thinks a line plot should connect all points with straight lines, regardless of the values.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student draws a bar graph instead of a line plot.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student tries to connect the dots in a random order instead of in the correct sequence.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 2, 3. Create a line plot.",Student draws a line plot that does not connect the points and treats them as individual dots instead.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student draws a line connecting dots without correctly placing them according to the data values.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.",Student draws the line plot but adds extra points not in the data set.,
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 3, 5. Create a line plot.","Student attempts to use a bar graph instead of a line plot, not understanding the difference between the two.",
K4,Data Analysis,displaying a set of data as a line plot,Conceptual Error,"Data set: 1, 2, 3, 4. Create a line plot.","Student believes a line plot should only have straight lines connecting points, confusing it with a moving line instead of representing data values.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 3 cm.,Confusing the formula for volume and using the perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Confusing volume with surface area and calculating the sides instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube given one side length of 3 cm.,"Confusing the formula for volume with surface area, or miscalculating the cube of the side length.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Using addition instead of multiplication to find the volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with sides measuring 3 cm each.,Forgetting to cube the side length and calculating the volume as just 3 times 3 times 3.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and using perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Confusing the formula for volume and calculating surface area instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing side length with volume and calculating it as 4 x 4 x 4 instead of using the correct formula.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Measure the volume of a cube with side length 4 cm.,Confusing the formula for volume and using area instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 4 cm, width of 3 cm, and height of 5 cm.","Confusing length and width, leading to incorrect volume calculation.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism that is 4 cm long, 3 cm wide, and 2 cm high.",Multiplying lengths incorrectly and using addition instead of multiplication to find volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Estimate the volume of a rectangular prism by measuring its length, width, and height.",Forgetting to multiply all three dimensions to find the total volume.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,How much more volume does a cube with a side length of 4 cm have compared to a cube with a side length of 2 cm?,Believing that the larger cube's volume is just double that of the smaller cube without applying the volume formula.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Comparing the volume of a cube and a rectangular prism with the same height but different bases.,Believing the cube always has a greater volume than the rectangular prism.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube by measuring one side and using the formula.,Confusing the measurements and using the wrong formula for volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Calculate the volume of a cube with a side length of 3 cm.,Forgetting to use the formula for volume and incorrectly using the perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and calculating surface area instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and using perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Confusing the formula for volume with the formula for surface area.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Confusing the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Calculate the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and using the perimeter instead of the area.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Using the wrong formula and calculating volume as length x width instead of length x width x height.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Confusing the formula for volume and using the perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Identify which object has a larger volume: a cube with side length 3 cm or a sphere with a radius of 2 cm.,Misjudging the volume comparison between the cube and the sphere.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Calculate the volume of a cube with a side length of 4 cm.,Confusing the volume formula and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and using the perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 4 cm, width of 3 cm, and height of 5 cm.",Confusing the formula for volume by adding dimensions instead of multiplying.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with length 5 cm, width 3 cm, and height 2 cm.","Confusing length, width, and height when calculating the volume.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Forgot to cube the side length and only multiplied by 4.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 3 units.,Confusing the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 3 cm.,Believing the volume can be found by simply multiplying the length of one side by 2.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 4 cm, 3 cm, and 2 cm.","Confusing length, width, and height leading to wrong multiplication.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 3 cm.,Confusing the formula for volume with the formula for surface area.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 4 cm, width of 3 cm, and height of 5 cm.",Misunderstanding the formula for volume and multiplying the dimensions in the wrong order.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 5 cm.,Confusing the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Forgetting to use the formula for the volume of a cube and instead multiplying the side length by 4.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 3 cm.,"Confusing the side length with the volume, calculating instead as 3 + 3 + 3.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube with a side length of 5 units.,Confusing side length with volume and calculating '5 + 5 + 5' instead of '5 x 5 x 5'.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Identify which object has a larger volume: a cube with side length 3 cm or a cylinder with a radius of 2 cm and height of 4 cm.,Confusing volume with surface area and misjudging the size of the cube compared to the cylinder.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Measure the volume of a cube with sides of 3 cm.,Confusing the formula for the volume of a cube with that of a pyramid.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 4 cm, width of 3 cm, and height of 5 cm.",Mixing up the formula and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with each side measuring 3 cm.,Confusing volume with surface area and calculating only the area of one face.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine whether a cube or a pyramid has a greater volume when both have the same base area.,Assuming that the height of the pyramid makes it larger than the cube without considering the volume formula.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 5 cm, width of 3 cm, and height of 4 cm.",Confusing volume with area and calculating only the base area.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Estimate the volume of a box with a length of 4 cm, a width of 3 cm, and a height of 5 cm.","Confusing length, width, and height when calculating volume.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with length 4 cm, width 3 cm, and height 5 cm.",Confusing the formula and multiplying length by width instead of including height.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and using the side length as the total volume.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine which has a greater volume: a cube with side length 2 cm or a cylinder with a radius of 2 cm and height of 3 cm.,Believing the cube has more volume than the cylinder without calculating.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Explain why the volume of a cube is different from the volume of a triangular prism.,Confusing the formulas for volume and thinking they are the same.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Using addition instead of multiplication to find the volume.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine if a cube or a rectangular prism has a greater volume if both have the same height.,Confusing the formula for volume and assuming the cube always has a greater volume.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine which has a greater volume: a cube with sides of 2 cm or a cone with a radius of 2 cm and height of 3 cm.,Confused about volume comparison and thinking that the larger base of the cone makes it more voluminous than the cube.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube with side length 3 cm.,Miscounting the number of unit cubes that fit inside the larger cube.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 2 cm, 3 cm, and 5 cm.","Confusing length, width, and height when calculating volume.",
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine which object has a greater volume: a cube with sides of 3 cm or a sphere with a radius of 2 cm.,Misunderstanding the relationship between side length and volume leading to incorrect comparisons.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Calculate the volume of a rectangular prism using the formula length x width x height.,Confusing the dimensions and multiplying incorrectly.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 3 cm, 4 cm, and 5 cm.",Confusing the formula for volume by mixing up the dimensions.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 3 cm, 4 cm, and 5 cm.",Misunderstanding the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Measure the volume of a rectangular prism by using the formula length times width times height.,Forgetting to multiply all three dimensions or mixing up their order.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube by counting the number of unit cubes it contains.,Miscounting the unit cubes due to misalignment or missing some cubes.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 3 cm.,Forgetting to cube the side length when calculating volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a rectangular prism with dimensions 4 cm by 3 cm by 2 cm.,"Multiplying the dimensions incorrectly, perhaps forgetting one dimension or using addition instead.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Estimate the volume of a toy box shaped like a rectangular prism by measuring the length, width, and height.",Forgetting to multiply all three dimensions together to find the volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with length 4 cm, width 3 cm, and height 5 cm.",Confusing multiplication of dimensions with addition of dimensions.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Compare the volume of a cube and a rectangular prism with the same height.,Believing that both shapes have the same volume because they share a height.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Calculate the volume of a cube with a side length of 3 cm.,Confusing side length with volume; thinking the volume is 3 instead of 27.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with each side measuring 3 cm.,Confusing the formula for volume and multiplying the side length by itself instead of cubing it.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 4 cm, 5 cm, and 6 cm.",Using incorrect multiplication or forgetting to multiply all three dimensions.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing the formula for volume and calculating the perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 4 cm, width of 3 cm, and height of 5 cm.","Confusing volume calculation with perimeter, calculating 2(length + width) instead.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 4 cm.,Confusing side length with perimeter when calculating volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 5 cm, width of 3 cm, and height of 4 cm.",Confusing the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine which has a greater volume: a cube with a side length of 2 cm or a rectangular prism with dimensions 1 cm x 3 cm x 2 cm.,Confusing the concept of volume with the area of the shapes.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Calculate the volume of a rectangular prism with dimensions 4 cm, 3 cm, and 5 cm.",Multiplying the dimensions in the wrong order or forgetting to include one of the dimensions in the calculation.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 3 cm.,Confusing the volume formula and calculating the surface area instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with sides measuring 4 cm.,Confusing the formula for volume and only measuring the sides without cubing the length.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Compare the volume of a cube with a triangular prism to see which one holds more water.,Believing the cube holds more water because it looks bigger even though the prism has a larger volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube when the side length is given as 4 cm.,Confusing volume calculations with perimeter or surface area.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a rectangular prism by counting unit cubes inside it.,"Counting the unit cubes incorrectly or confusing length, width, and height.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with side length 4 cm.,Misunderstanding that volume is the same as surface area and calculating the area instead.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Compare the volumes of a cube and a rectangular prism with the same height but different widths and lengths.,"Believing that the taller shape always has a larger volume, regardless of base area.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube by counting the number of unit cubes that fit inside it.,Miscounting the unit cubes or misunderstanding how to visualize the three-dimensional space.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Calculate the volume of a cube with a side length of 4 cm.,Thinking that volume is just found by adding the side lengths together instead of using the formula.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 3 cm.,Confusing volume with area and calculating 3 x 3 instead of 3 x 3 x 3.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Estimate the volume of a cube by counting how many smaller cubes fit inside it.,Believing that counting the edges of the cube is sufficient to determine its volume.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 3 cm.,Miscalculating the volume by forgetting to cube the side length.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 4 cm, 3 cm, and 5 cm.",Confusing the formula for volume and using addition instead of multiplication.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Estimate the volume of a box by measuring its length, width, and height.",Forgetting to multiply the dimensions and only adding them instead.,
K5,Geometry,volumes of 3 dimensional shapes,Conceptual,Determine which has a larger volume: a cube with side length 3 cm or a rectangular prism with dimensions 2 cm x 2 cm x 6 cm.,Believing the cube is larger because it looks bigger.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 3 cm, 4 cm, and 5 cm.",Confusing multiplication of lengths with addition of lengths.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with edge length 4 cm.,Forgetting to use the formula for volume and just counting the number of unit cubes visually.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 5 cm, width of 3 cm, and height of 4 cm.",Multiplying the dimensions in the wrong order or forgetting to multiply all three dimensions.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with each side measuring 3 cm.,Confusing side length with volume and stating the answer as 9 cm.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with dimensions 2 cm, 3 cm, and 4 cm.","Confusing length, width, and height when calculating volume.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Estimate the volume of a cube with side length 3 cm.,Confusing the formula for volume and mistakenly using the perimeter instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 5 cm.,Confusing the formula for volume and incorrectly using perimeter instead of area.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism given the dimensions 2 cm, 3 cm, and 5 cm.","Confusing length, width, and height in the formula.",
K5,Geometry,volumes of 3 dimensional shapes,Procedural,Determine the volume of a cube with a side length of 3 cm.,Forgetting to cube the side length and using addition instead.,
K5,Geometry,volumes of 3 dimensional shapes,Procedural,"Determine the volume of a rectangular prism with a length of 4 cm, width of 3 cm, and height of 5 cm.",Misapplying the formula for volume and forgetting to multiply all three dimensions.,
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student incorrectly adds the tens and ones, mixing them up.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,45 + 27,"Student confuses tens and ones place, adding incorrectly by treating '4' as '40' instead of '4'.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student misreads the tens and ones place, adding them incorrectly.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,15 + 27,"Student incorrectly places the tens and units, leading to an inaccurate sum.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student reverses the digits in one of the numbers, leading to an incorrect sum.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student adds incorrectly by not aligning the place values, resulting in an incorrect sum.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,34 + 26,"Student misreads the tens place, adding the numbers incorrectly as if both were in the ones place.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,34 + 28,Student adds tens and ones incorrectly due to misunderstanding place value.,
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student incorrectly adds the digits in the tens place, leading to the wrong sum.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,45 + 27,"Student adds tens and units incorrectly, mixing up place values.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 - 23,"Student incorrectly identifies the value of tens and units, leading to an incorrect subtraction.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 37,"Student incorrectly adds the tens and ones places, resulting in an incorrect total.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,45 + 36,"Student adds wrongly by confusing the place values of tens and ones, resulting in an incorrect sum.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,Add 24 and 15 using place value.,"Student incorrectly adds the tens and ones separately without carrying over, leading to an incorrect total.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student adds the tens and ones incorrectly, resulting in an inaccurate sum.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,25 + 30,"Student incorrectly adds the tens and ones separately instead of considering the place value, leading to an incorrect sum.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student adds the tens place incorrectly, treating 40 as 30.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 - 29,"Student misreads the tens place, subtracting incorrectly and leading to an erroneous answer.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,Add 12 and 9 using place value.,"Student adds the tens and ones separately but forgets to carry over, leading to an incorrect total.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,15 + 28,"Student adds the tens and ones incorrectly, mixing up the digits.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,Add 12 and 9.,"Student adds the tens and ones places incorrectly, treating them as a single digit.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,Add 12 and 9 using place value.,"Student incorrectly adds the tens and ones, resulting in a total that does not use place value correctly.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,Add 23 and 18 using place value.,"Student adds the tens and ones separately but miscounts the total when combining, leading to an incorrect sum.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 - 30,"Student mixes up the digits in the tens place, leading to an incorrect answer.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 - 30,"Student uses the wrong place value, subtracting incorrectly from the tens instead of the ones.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,45 + 32,"Student incorrectly adds the tens place, thinking 4 + 3 equals 6 instead of 7.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,45 + 37,"Student adds the tens and units incorrectly by mixing the place values, resulting in an incorrect total.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,12 + 30,"Student adds the tens and ones separately but incorrectly combines them, leading to a wrong total.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,47 + 36,"Student adds the tens and units incorrectly, mixing place values.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 39,Student adds the tens and ones incorrectly due to misunderstanding place value.,
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,34 + 21,"Student misreads the tens place, adding 3 and 2 incorrectly.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,27 + 15,"Student adds the tens and ones place incorrectly, treating digits as whole numbers.",
K1,Numbers and Operations,Use place value to add and subtract,Conceptual Error,34 + 27,"Student adds the tens and ones incorrectly by mixing them up, resulting in a total that doesn't align with place value.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,42 + 38,"Student adds the tens and ones separately but forgets to carry over when needed, resulting in an incorrect total.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,34 + 27,"Student adds the tens and ones separately but misplaces the sum of the tens, making it a wrong total.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,34 + 27,"Student adds the tens and ones incorrectly, treating '34' as '30' instead of '34'.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 37,Student adds the tens and ones separately but forgets to carry over when adding the ones.,
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,34 + 27,"Student adds the tens and ones place incorrectly, treating them as single digits.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 32,"Student incorrectly adds the tens and ones, mixing up place values.",
K1,Numbers and Operations,Use place value to add and subtract,Procedural Error,45 + 36,"Student misreads the numbers, adding the tens and ones incorrectly.",
K1,Numbers and Operations,Use place value to add and subtract,Place Value Error,45 + 38,"Student adds the tens and ones incorrectly, misplacing the values.",
