Grade,Topic,Sub-topic,Challenge Type,Problem,Student Mistake Prompt
K5,Numbers and Operations,word problems involving fractions and decimals,Numbers and Operations: Fractions,What is 1/3 of 12?,Confusing between 'of' as multiplication and 'of' as a portion.
K5,Numbers and Operations,word problems involving fractions and decimals,Fractions Word Problem,"If you eat 3/4 of a pizza, how much is left?",Misunderstanding 3/4 as 3 divided by 4
K5,Numbers and Operations,word problems involving fractions and decimals,Fractions Word Problem,"If you have 1/2 of a cake and want to share it equally among 3 friends, how much does each get?",Adding instead of dividing: 1/2 + 3 = 3 1/2
K5,Numbers and Operations,word problems involving fractions and decimals,Fractions,"If you have 3/4 of a cake and eat 1/2, how much is left?",Mixing addition and subtraction operations.
K5,Numbers and Operations,word problems involving fractions and decimals,Word Problem,"If you travel at 60 miles per hour, how many miles will you travel in 2.5 hours?",Interpreting the decimal as a fraction
K5,Numbers and Operations,word problems involving fractions and decimals,Fractions - Multiplicative Comparison,"If a car goes 3 1/2 times farther on a gallon of gas than a truck, and the truck goes 20 miles, how far can the car go?",Adding instead of multiplying to get 23 1/2 miles.
K5,Numbers and Operations,word problems involving fractions and decimals,Fraction-Decimal Conversion,"If you convert 2 1/2 to a decimal, what do you get?",Estimating to 2.15 instead of 2.5
K5,Numbers and Operations,word problems involving fractions and decimals,Fraction-Decimal Conversion,"If you run 0.3 miles in 2 minutes, what is the rate in miles per hour?",Assuming 0.3 is a smaller amount than it should be in the conversion process.
K1,Measurement,Tell time,Tell time,What time is it if the minute hand is at 6 and the hour hand is at 3?,Student thinking it is 3 o'clock instead of 6:30.
K1,Measurement,Tell time,Tell Time,What time is shown in the image below?,Struggling to read the hour and minute hands accurately.
K1,Measurement,Tell time,Tell Time,Convert 7:30 AM to 24-hour format.,Student converts it as 7:30 PM instead.
K1,Measurement,Tell time,Tell Time,What time is shown on the clock?,Confusing between AM and PM
K1,Measurement,Tell time,Tell Time,"If the clock shows 5:30, what is the time after 45 minutes?",Student may add 45 minutes to the time instead of reading the new time.
K1,Measurement,Tell time,Interpretation,What does the hour hand of a clock represent?,Ignoring the importance of the hour hand.
K1,Measurement,Tell time,Tell Time,What time is it when the minute hand is on 6 and the hour hand is on 8?,Rendering 8 as 2
K1,Measurement,Tell time,Tell Time,What time is it if the short hand is on 3 and the long hand is on 12?,Misinterpreting the long hand as the hour hand.
K1,Measurement,Tell time,Tell time,Convert 8:15 AM to 24-hour format.,1:15 PM is mixed up with 8:15 AM.
K1,Measurement,Tell time,Tell time,Convert 16:45 to 12-hour clock.,AM/PM confusion
K1,Measurement,Tell time,Tell Time,Is it 11:30 AM or 11:30 PM?,Student confuses between the AM and PM notation.
K1,Measurement,Tell time,Time Conversion,What is 390 minutes in hours and minutes?,Adding the remainder instead of reporting as minutes
K1,Measurement,Tell time,Time Intervals,How much time has passed from 3:15 to 5:40?,Assuming 5:40 is in the morning.
K1,Measurement,Tell time,Conceptual,What is 15 minutes before 12:00?,Thinking it is 12:15
K1,Measurement,Tell time,Conceptual,Why do we use 'quarter' when telling time?,Student says it's a measure of minutes rather than 15 minutes.
K1,Measurement,Tell time,Conceptual,Is it 9:15 AM or 9:15 PM?,Confusing AM and PM
K1,Measurement,Tell time,Conceptual,What does AM stand for?,Thinking it means After Midday.
K1,Measurement,Tell time,Time Conversion,"If it is 2:30 PM, what will be the time after 5 hours?","Student adds the hours to 2 instead of 12, thinking the clock resets after 12 hours."
K1,Measurement,Tell time,Procedural,What time is shown on the clock: 2:30?,Confusing the hour and minute hands.
K1,Measurement,Tell time,Tell Time,What comes after 6:45?,Misreading the position of the minute hand.
K1,Measurement,Tell time,Conceptual,What does AM and PM stand for in a 12-hour clock?,Thinking AM means After Morning and PM means Past Morning.
K1,Measurement,Tell time,Time - Measurement,What time is it if the short hand is on 4 and the long hand is on 12?,They may ignore the minutes and think it's 4 o'clock instead of 4:00.
K1,Measurement,Tell time,Tell time,What will be the time 15 minutes after 3:30 PM?,Commonly adding 15 instead of converting it to quarter past or half past.
K1,Measurement,Tell time,Time Conversion,"If a meeting starts at 14:30, what time is it?",Student may not understand the 24-hour clock and might convert it incorrectly to 2:30 PM.
K1,Measurement,Tell time,Conceptual,Why do minutes have 60 parts?,<b>Students may misunderstand that minutes are grouped into 60 parts.</b>
K1,Measurement,Tell time,Time Duration,"If a movie starts at 3:15 PM and ends at 5:30 PM, how long is the movie?",Student adds 15 and 30 minutes to get 45 minutes instead of 2 hours and 15 minutes.
K1,Measurement,Tell time,Clock Reading,Read the time on the clock: 1:45,Interchanging the positions of the hour and minute hand.
K1,Measurement,Tell time,Conceptual,How many minutes are there in half an hour?,<student's mistake>
K1,Measurement,Tell time,Tell Time,What is the current time if the digital clock shows 14:30?,Student might confuse military time with standard time.
K1,Measurement,Tell time,Tell Time,What time is it when the minute hand is on 3 and the hour hand is on 6?,Misreading clock hands thinking it's 3:30 instead of 3:00.
K1,Measurement,Tell time,Tell Time,At what time should the bus arrive if it's 15 minutes past 3:00?,Mixing up PM and AM in the evening.
K1,Measurement,Tell time,Conceptual,What time is it when the hour hand is on 4 and the minute hand is on 9?,Thinking it is 4:45 when it is actually 4:45.
K1,Measurement,Tell time,Conceptual,What time is shown in the clock?,Reading 1:45 as 3:00
K1,Measurement,Tell time,Conceptual,Read the clock and say what time it is at 6:30.,Saying '6:30 PM' instead of just '6:30'.
K1,Measurement,Tell time,Conceptual,What time is it if the big hand is on 12 and the small hand is on 3?,<p>
K1,Measurement,Tell time,Conceptual,Is it 5 AM or 5 PM?,Reading the digital clock and not paying attention to AM/PM.
K1,Measurement,Tell time,Tell Time,What time will it be in 3 hours if it's 9:30 AM now?,Student may forget to account for minutes when adding hours.
K1,Measurement,Tell time,Time Intervals,What is the duration from 3:45 to 5:15?,Adding 1 hour 30 minutes as 1 hour 50 minutes.
K1,Measurement,Tell time,Tell Time,What time is it when both hour and minute hands are at 12?,Student might think it's midnight but it's actually noon.
K1,Measurement,Tell time,Tell time,What time is shown on the clock: 4:30?,Ignoring the minutes and only stating the hour
K1,Measurement,Tell time,Conceptual,At what time do you have lunch if it's 12 PM?,Thinking 12 PM is nighttime.
K1,Measurement,Tell time,Time Conversion,Convert 3 hours and 30 minutes to minutes.,Adding instead of multiplying the hours and minutes.
K1,Measurement,Tell time,Time Conversion,What time is it 4 hours after 3 PM?,Not accounting for the change in day.
K1,Measurement,Tell time,Tell time,What time is half past 9?,Mixing up the hand positions for half past and quarter to.
K1,Measurement,Tell time,Conceptual,What time is shown on the clock at 5:30?,Mixing up the hour and minute hand.
K1,Measurement,Tell time,Tell time,"What time is it if the short hand is between 3 and 4, and the long hand is on 6?",Some problems require estimation.
K1,Measurement,Tell time,Tell time,What time is it if the hour hand is between 4 and 5 and minutes hand is at 6?,Confusing the hour hand with the minute hand.
K1,Measurement,Tell time,Tell time,What does 1:30 PM mean?,Mixing up AM and PM
K1,Measurement,Tell time,Tell Time,What time is it 15 minutes past 11 o'clock?,Stating it's 11:15 at the exact moment the clock hits 11:15.
K1,Measurement,Tell time,Tell time,What does 16:45 mean in a 12-hour format?,AM/PM confusion
K1,Measurement,Tell time,Time Duration,What is the duration from 2:15 PM to 5:30 PM?,Confusing the end time as a starting point.
K1,Measurement,Tell time,Analog Clock,What time is shown on the clock?,Mistaking the hour hand for the minute hand.
K1,Measurement,Tell time,Tell time,What time is shown on the clock?,Confusing AM and PM for 9:00
K1,Measurement,Tell time,Clock Reading,What time is it if the minute hand is at 12 and the hour hand is at 3?,Assuming 15-minute intervals and saying 3:00 instead of 3:00-15.
K1,Measurement,Tell time,Tell Time,What time is it when the minute hand is at 3 and the hour hand is at 6?,Mixing up the hour and minute hands positions.
K1,Measurement,Tell time,Conceptual,What time is it when the short hand is at 6 and the long hand is at 12?,The student confuses the positions of the clock hands.
K1,Measurement,Tell time,Conceptual,What does AM and PM mean on a clock with time 3:00 PM?,Thinking AM means afternoon.
K1,Measurement,Tell time,Time Conversion,Convert 45 minutes to hours and minutes.,Treating it as 45 hours.
K1,Measurement,Tell time,Conceptual,What time is shown on the clock?,Thinking the hand is pointing somewhere else.
K1,Measurement,Tell time,Conceptual,What time is shown on the clock?,Thinking 3:00 is the same as 9:00 based on hand position.
K1,Measurement,Tell time,Conceptual,Where are the big and small hands on the clock at 3:00?,Mixing up hour and minute hands.
K1,Measurement,Tell time,Time - Analog Clocks,What time is shown on the clock?,Ignoring the minute hand while reading the time.
K1,Measurement,Tell time,Conceptual,What does '10 past 2' mean on a clock?,Misunderstanding the position of clock hands.
K1,Measurement,Tell time,Tell time,What time is it 30 minutes before 2:00?,Mixing up addition and subtraction when calculating time.
K1,Measurement,Tell time,Conceptual,What time is shown on the clock?,Thinking the time is 4:15 instead of 3:45.
K1,Measurement,Tell time,Tell Time,What time is it if the short hand is on 3 and the long hand is on 12?,Misinterpreting the short and long hands' positions as hours and minutes.
K1,Measurement,Tell time,Time Duration Problem,Sam started reading at 3:45 PM and finished at 4:30 PM. How long did Sam read?,Adding instead of subtracting the end time from the start time.
K1,Measurement,Tell time,Misconception,Why is 3:00 PM not written as 3:00/24:00?,Student is confusing 24-hour clock with standard time format.
K1,Measurement,Tell time,Conceptual,"If it's 3:30 and you play for 45 minutes, what time is it?",Forgetting to combine 30 minutes from the original time with the 45 minutes of play.
K1,Measurement,Tell time,Clock Reading,Is it AM or PM if the time is 6:00?,Reading 6:00 AM as 6:00 PM due to confusion.
K1,Measurement,Tell time,Tell time in Measurement,What time is it when the minute hand is on 6 and the hour hand is on 3?,<student's mistake>
K1,Measurement,Tell time,Conceptual,What time is shown on the clock?,Thinking that the minute hand moves first before the hour hand.
K1,Measurement,Tell time,Tell Time,What time is it when the short hand is at 3 and the long hand is at 6?,The student misinterprets the meaning of the clock hands.
K1,Measurement,Tell time,Conceptual,How many hours between 7 AM and 5 PM?,Thinking it is 10 hours from sunrise.
K1,Measurement,Tell time,Analog Clock Reading,What time is it if the minute hand is at 6 and the hour hand is at 2?,"Student may think it is 6:10 because the minute hand is at 2x, instead of understanding the hour hand position."
K1,Measurement,Tell time,Time Measurement,What time is shown on the clock with the hour hand on 3 and the minute hand on 9?,Seeing it as 4:45 instead of 3:45 due to not aligning the hands properly.
K1,Measurement,Tell time,Conceptual,What does 'a quarter past 5' mean?,Student may think it means 1/4 of the hour.
K1,Measurement,Tell time,Conceptual,What time is it when the minute hand is on 6 and the hour hand is on 4?,Student may think it's 6:20 instead of 4:30.
K1,Measurement,Tell time,Conceptual,At what time does the big hand point to 6 and the little hand to 2?,Confusing big hand with little hand.
K1,Measurement,Tell time,Conceptual,Does the minute hand point to 4 or 5?,Not noticing the small mark difference.
K1,Measurement,Tell time,Mid-Level Conceptual,What is the total time difference between 5:15 PM and 7:30 PM?,Student mistakenly calculates time difference based on a 12-hour clock instead of a 24-hour clock.
K1,Measurement,Tell time,Tell time,What time is shown on the clock?,Misreading the time on a digital clock
K1,Measurement,Tell time,Conceptual,Are 5:30 and half past five the same?,"No, 5:30 is after half past five."
K1,Measurement,Tell time,Time Elapsed,"If a movie started at 3:30 PM and ended at 6:15 PM, how long was the movie?",Adding 30 + 15 to get 45 minutes instead of handling the additional hour.
K1,Measurement,Tell time,Time Duration,How long from 2:30 to 4:45?,Student adds hours and minutes instead of finding the difference.
K1,Measurement,Tell time,Time,What time is 3 hours before 5 PM?,Mixing up before and after in time calculations.
K1,Measurement,Tell time,Conceptual,What does 'a quarter past 6' mean?,Thinking it refers to 25 cents.
K1,Measurement,Tell time,Conceptual,How many 5-minute intervals in 30 minutes?,Answering 7 instead of 6 due to counting both start and end.
K1,Measurement,Tell time,Tell time,What time will it be in 3 hours from 4:15 PM?,Forgetting to account for the increase in hours.
K1,Measurement,Tell time,Tell Time,Convert 4:30 PM to 24-hour format.,Saying it's 4:30 AM instead of PM.
K1,Measurement,Tell time,Tell Time - Measurement,What time will it be 2 hours and 15 minutes after 3:30 PM?,If not converting 15 minutes to quarter hour increments.
K1,Measurement,Tell time,Telling Time,What time is it if the short hand is on 3 and the long hand is on 12?,Student may think it is 3:60 instead of 4:00.
K1,Measurement,Tell time,Time Interval,Calculate the time elapsed from 3:25 to 5:10.,Ignoring the hour change and adding only the minutes.
K1,Measurement,Tell time,Analog Clock Reading,At what time does the hour hand meet the minute hand?,Assuming it's always an exact time like 6:30.
K1,Measurement,Tell time,Conceptual,What does the short hand represent?,The student conflates different time concepts.
K1,Measurement,Tell time,Tell time,Convert 16:45 to 12-hour time.,AM/PM confusion
K1,Measurement,Tell time,Time Conversion,What is 3 hours from 10:00 AM?,Thinking 10:00 PM is the same as 10:00 AM
K1,Measurement,Tell time,Tell Time,What time is shown on the clock?,Thinking an hour hand move counts as a full hour change.
K3,Measurement,estimating and measuring masses,Estimation,Estimate the mass of a small book.,Student using an estimate too vague to be meaningful.
K3,Measurement,estimating and measuring masses,Procedural Error,Which is heavier: 1 kg of feathers or 1 kg of stones?,Not recognizing equal mass due to focus on different materials.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a book in grams.,#^$&# Error: Confusing mass with volume.
K3,Measurement,estimating and measuring masses,Conceptual Error,Why does this toy sink in water but the sponge floats?, Associating mass with only weight in relation to water.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a small pebble.,Student assumes mass is volume; estimates using size instead.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a small cup of water.,Student confuses milliliters with grams while estimating.
K3,Measurement,estimating and measuring masses,Misinterpretation,Determine which is heavier: 4 kg or 4000 g.,Assuming 4 kg is lighter than 4000 g because it is a smaller number.
K3,Measurement,estimating and measuring masses,Conceptual Error,Why is it important to use the same balance for all measurements?,Student thinks the balance affects actual mass.
K3,Measurement,estimating and measuring masses,Procedural Error,What is the total mass of a 2kg book and a 150g pencil?,Student forgets to convert 150g to kilograms.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a textbook.,# Error: Trying to guess instead of using a reference.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a book in your hand.,"Student thinks grams are larger than kilograms, leading to an inaccurate estimate."
K3,Measurement,estimating and measuring masses,Estimating Mass,Estimate the mass of a rock using grams.,Student uses kilograms instead of grams.
K3,Measurement,estimating and measuring masses,Measurement Estimation,Estimate the mass of a pencil.,#ERROR: Not recognizing that estimation doesn't require precise numbers.
K3,Measurement,estimating and measuring masses,Measurement Error,Estimate the mass of 4 liters of water.,Assuming volume is the same as mass.
K3,Measurement,estimating and measuring masses,Practical Task,Estimate the mass of a book,Ignoring the reasonable range of book masses
K3,Measurement,estimating and measuring masses,Conceptual Error,Why does mass not change with location?,"Student confuses mass with weight, which varies with gravity."
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a pen in grams.,Student estimates 1000 grams instead of 10 grams.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a small pebble.,Student assumes mass is much larger or smaller based on appearance.
K3,Measurement,estimating and measuring masses,Conceptual Misunderstanding,Explain why mass and weight are different.,Thinking mass changes in gravity.
K3,Measurement,estimating and measuring masses,Practical Application,Estimate the mass of a watermelon using a balance scale.,Student assumes the watermelon's mass is similar to its weight.
K3,Measurement,estimating and measuring masses,Practical Task,Estimate the mass of a large object using hands-on methods.,Student relies too heavily on visual cues rather than physical feedback.
K3,Measurement,estimating and measuring masses,Conceptual,"If a container holds 0.5 kg of flour, how many grams is that?",Converting without adjusting decimal places.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a large rock in kilograms.,Student assumes mass equals volume.
K3,Measurement,estimating and measuring masses,Estimation,Estimate the mass of a bag of marbles.,#ERROR!
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of the water in the beaker.,Student estimates 200 g when it is actually 150 g.
K3,Measurement,estimating and measuring masses,Procedural Error,What does the scale measure?,Student reads volume measurement on scale rather than mass.
K3,Measurement,estimating and measuring masses,Measurement Accuracy,What is the mass of this bag of apples?,Estimating from physical appearance rather than using a scale.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a textbook.,#ERROR!
K3,Measurement,estimating and measuring masses,Procedural Error,"If you estimate the mass of a book as 0.5 kg and a bag of flour as 1.5 kg, what is the total mass?",Challenge with mental math gets attention diverted.
K3,Measurement,estimating and measuring masses,Measurement Error,"A recipe needs 250g of flour. Estimate using cups, knowing 1 cup = 125g.",Student assumes 1 cup = 250g leading to wrong conversion.
K3,Measurement,estimating and measuring masses,Misinterpretation,What does this scale measure?,Thinking it measures the volume of an object.
K3,Measurement,estimating and measuring masses,Procedural Error,"If a boat's mass is 2500 kg and people on board weigh an estimated 500 kg, what is the total mass?",student forgets to add the estimated mass of people to the boat
K3,Measurement,estimating and measuring masses,Conceptual Error,Why should we use a balance rather than a scale for certain measurements?,Assuming a balance and a scale are interchangeable.
K3,Measurement,estimating and measuring masses,Misconception,What is 500 grams + 1 kilogram?,"<500 grams + 1 kilogram makes 1500 grams, not 1.5 kilograms>"
K3,Measurement,estimating and measuring masses,Misinterpretation of Data,Using a graph to estimate the mass of a liquid at 30 seconds.,Confusing the curve for a discrete data point.
K3,Measurement,estimating and measuring masses,Conceptual Misunderstanding,What does the mass of an object measure?,Student thinks mass measures size.
K3,Measurement,estimating and measuring masses,Practical Task,Estimate the mass of a school bag using a balance scale.,Student tries to estimate visually without using the scale.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a book in kilograms.,#DIV/0! Error in inputting the data.
K3,Measurement,estimating and measuring masses,Misinterpretation,Estimate the mass of 5 books.,Thinking books are as heavy as a worksheet.
K3,Measurement,estimating and measuring masses,Measurement Error,What is the total mass of the bag containing 5 identical apples and 3 identical bananas?,#ERROR! in calculator when summing the masses
K3,Measurement,estimating and measuring masses,Conceptual Error,What does the abbreviation 'kg' stand for in the context of mass?,Assuming 'kg' stands for 'kilograms' rather than 'kilogram' in singular form.
K3,Measurement,estimating and measuring masses,Conceptual Error,What is the purpose of a balance scale in measuring mass?,Student thinks balance scale measures weight.
K3,Measurement,estimating and measuring masses,Procedural Error,"If given a scale, determine which of these is approximately 500 grams: An apple, bottle of water, or a bag of flour.","Student starts by weighing the apple, then the bag of flour, getting confused comparing weights."
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a textbook.,Student confuses an estimate with a measurement.
K3,Measurement,estimating and measuring masses,Procedural Error,Measure the mass of a liquid using a beaker and a scale.,"Reading the scale with parallax error, leading to an incorrect reading."
K3,Measurement,estimating and measuring masses,Language Barrier,Convert 3500 grams to kilograms.,Assuming grams and kilograms are the same.
K3,Measurement,estimating and measuring masses,Measurement Error,Estimate the mass of a textbook in grams.,Not accounting for the actual weight of a textbook.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a small apple in grams.,"Student assumes the mass is in kilograms instead of grams, leading to a 1000x error."
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a banana.,Student assumes all small fruits have the same mass.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a small paper clip.,Student assumes the paper clip weighs less than it actually does.
K3,Measurement,estimating and measuring masses,Procedural,"If 1 crate of fruits weighs 5 kilograms, how many crates are needed for 30 kilograms?",student multiplies instead of divides
K3,Measurement,estimating and measuring masses,Measurement Conversion,Convert 2500 grams to kilograms.,Student reads 250 grams as 2500 grams.
K3,Measurement,estimating and measuring masses,Conceptual Error,What is the definition of mass?,Confusing weight with mass due to being used interchangeably in daily language.
K3,Measurement,estimating and measuring masses,Conceptual Error,When does 1000 grams equal 1 kilogram?,Confusing which direction the conversion goes.
K3,Measurement,estimating and measuring masses,Procedural,"If you estimate a small rock to weigh 5 grams, what subtractions can you use to find the total weight of 3 rocks?",Student might forget to account for the estimation error in the total sum.
K3,Measurement,estimating and measuring masses,Misconception,Why does a big marshmallow not always weigh more than a small one?,Student believes size directly relates to mass.
K3,Measurement,estimating and measuring masses,Estimation,"Estimate the total mass of these 3 objects: 500g, 750g, 1kg.",<student's mistake>
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a small book.,Student believes an estimate is exact.
K3,Measurement,estimating and measuring masses,Procedural Error,"If a scale measures in grams and shows 130 g for an object, what is its mass in kilograms?",Misconverting without dividing the number properly.
K3,Measurement,estimating and measuring masses,Estimation,"If a block weighs 300 grams, estimate the total weight of 5 similar blocks.",#ERROR: Divide the total weight instead of adding.
K3,Measurement,estimating and measuring masses,Conceptual Error,Which is heavier: 200 g or 0.2 kg?,Confounding mass and weight units.
K3,Measurement,estimating and measuring masses,Measurement Error,"If a container holds 10 liters of water, estimate its mass in grams.",Student confusion between mass and volume.
K3,Measurement,estimating and measuring masses,Estimating Mass,Estimate the mass of the water in a half-filled 2-liter bottle.,"**Student: Opens the bottle, causing water to spill.**"
K3,Measurement,estimating and measuring masses,Procedural Error,Convert 2500 grams to kilograms accurately.,Using the wrong part of the scale or an incorrect conversion factor.
K3,Measurement,estimating and measuring masses,Misinterpretation,What is the estimated mass of this book in grams?,Estimating instead of reading the actual mass on a scale.
K3,Measurement,estimating and measuring masses,Conceptual Error,"Using a balance scale, estimate the mass of a basketball in grams.",Skipping the estimation step and immediately using the scale.
K3,Measurement,estimating and measuring masses,Procedural Error,You want to measure 150g of flour but the balance shows 250g. How much flour do you add to balance it perfectly?,Student adds 100g instead of removing 100g.
K3,Measurement,estimating and measuring masses,Conceptual Error,What device is best for measuring the mass of a small rock?,Assuming a balance is used to weigh the rock.
K3,Measurement,estimating and measuring masses,Estimation,Estimate the mass of a bag of flour.,Student assumes the mass without checking.
K3,Measurement,estimating and measuring masses,Procedural,Convert 4.5 kilograms to grams.,Misreading the decimal place as 45 grams.
K3,Measurement,estimating and measuring masses,Conceptual Error,What is the relationship between grams and kilograms?,Student thinks a kilogram is smaller than a gram.
K3,Measurement,estimating and measuring masses,Conceptual,How does mass differ from weight in measurement?,Student might mix up the terms and use them interchangeably.
K3,Measurement,estimating and measuring masses,Misconception,Why does a sponge weigh more after absorbing water?,Misinterpreting increase in mass as decrease.
K3,Measurement,estimating and measuring masses,Procedural Error,What is the total mass when combining 2.5 kg and 1500 g?,Student doesn't convert 1500 g to kg before adding.
K3,Measurement,estimating and measuring masses,Conceptual Error,Why is it important to zero the scale before measuring?,Student forgets to account for the weight of the container.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a chair in grams.,"rnStudent rounds off too early, using kilograms instead of grams."
K3,Measurement,estimating and measuring masses,Procedural,"If a bag is labeled as 1 kg of sugar, how much mass is actually there?",#ERROR!
K3,Measurement,estimating and measuring masses,Language Barrier,Estimate the mass of a pencil.,Misinterpreting mass as just length.
K3,Measurement,estimating and measuring masses,Procedural Error,What is 5 kg + 300 g when combined?,Finding the average of the two masses instead of adding them.
K3,Measurement,estimating and measuring masses,Procedural Knowledge,"If a block has a mass of 250 grams, what is its mass in kilograms?",Student forgets to convert grams to kilograms then provides the incorrect answer.
K3,Measurement,estimating and measuring masses,Procedural,"If a recipe needs 500g of flour and the bag has 1000g, how much will be left after using what's needed?",Dropping units and thinking 1000 will be used.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a set of textbooks.,"Student assumes all textbooks have similar mass, leading to an inaccurate estimate."
K3,Measurement,estimating and measuring masses,Problem Solving,Use the balance to estimate the mass of the book.,Student relies on sight alone without using the balance.
K3,Measurement,estimating and measuring masses,Procedural,Convert 40 kg to grams.,Not moving the decimal place three times.
K3,Measurement,estimating and measuring masses,Misinterpretation,When is a triple beam balance used instead of a digital balance?,Student thinks a triple beam balance is more accurate than a digital balance.
K3,Measurement,estimating and measuring masses,Conceptual Error,"When weighing flour, how do you know it's close to 500 grams?","Interchanging weight and mass, not understanding the balance."
K3,Measurement,estimating and measuring masses,Procedural Error,What is the mass of the object in grams if it reads 5 kg on the scale?,Confusing grams and kilograms.
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a small rock in grams.,Saying it weighs 5 grams instead of estimating around 100 grams.
K3,Measurement,estimating and measuring masses,Conceptual Misunderstanding,What does it mean if a bag reads 1 kg?,Student thinks the bag is exactly 1 kg without variation.
K3,Measurement,estimating and measuring masses,Procedural Error,Which is heavier: 5 kg or 500 g?,Assuming 5 kg is smaller because the number is smaller.
K3,Measurement,estimating and measuring masses,Misconception,Why does a large box of feathers have the same mass as a small rock?,"Student thinks weight is the same as mass, hence confusing heavier for more massive."
K3,Measurement,estimating and measuring masses,Estimation Error,Estimate the mass of a textbook.,Student assumes the mass without reference to actual values.
K3,Measurement,estimating and measuring masses,Conceptual Error,What is the difference between mass and weight?,#
K3,Measurement,estimating and measuring masses,Procedural Error,"If a scale is tared at the wrong time, what happens?",Reading the mass without taring.
K3,Measurement,estimating and measuring masses,Practical Application,"While baking cookies, how much leeway do you have when measuring sugar?",Student thinks being off by 10g in cookies is negligible.
K3,Measurement,estimating and measuring masses,Problem Solving,"You have two boxes, one with a mass of 5 kg and the other with an unknown mass. If both boxes together weigh 10 kg, what is the mass of the second box?",Student forgets to subtract the known mass from the total to find the unknown mass.
K3,Measurement,estimating and measuring masses,Estimation Challenge,Estimate the mass of a book in kilograms.,Student confuses mass with weight in newtons.
K3,Measurement,estimating and measuring masses,Practical Task,How many full buckets of water weigh more than a bag of potatoes?,#ERROR
K3,Measurement,estimating and measuring masses,Measurement Error,"If a book has a mass of 320 grams, how many kilograms is that?",Converting directly to kilograms without adjusting units.
K4,Numbers and Operations,converting fractions to/from decimals,Numbers and Operations,Convert 2.3 to a fraction in simplest form.,Misinterpreting the decimal place and treating it as a mixed number.
K4,Numbers and Operations,converting fractions to/from decimals,Fraction to Decimal Conversion,Convert 5/8 to a decimal.,5/8 = 0.5
K4,Numbers and Operations,converting fractions to/from decimals,Decimal to Fraction Conversion,Convert 0.83 to a fraction.,Student mistake: Converting 0.83 directly to 83/100 without reducing.
K4,Numbers and Operations,converting fractions to/from decimals,Fraction to Decimal,Convert 2/3 to a decimal.,0.666... rounded to 0.67 instead of 0.67
K4,Numbers and Operations,converting fractions to/from decimals,Procedural,Convert 7/8 to a decimal.,Misinterpretation of the quotient.
K4,Numbers and Operations,converting fractions to/from decimals,Numbers and Operations,Convert 5/8 to a decimal.,Dividing 5 by 8 without simplifying first.
K4,Numbers and Operations,converting fractions to/from decimals,Mathematical Procedure,Convert 3/11 to a decimal.,Multiplying 11 by 3 to get 33 instead of using long division.
K4,Numbers and Operations,converting fractions to/from decimals,Procedural Knowledge,Perform the long division 7 ÷ 12,Not shifting the decimal point correctly
K4,Numbers and Operations,converting fractions to/from decimals,Fractions to Decimals,Convert 2/3 to a decimal.,Misreading the division sign as a subtraction sign and getting 3.2 instead of 0.666...
K4,Numbers and Operations,converting fractions to/from decimals,Decimals to Fractions,Convert 0.75 to a fraction.,Mistaking 0.75 as equivalent to 75/100 and reducing to 3/4.
K4,Numbers and Operations,converting fractions to/from decimals,Numbers and Operations,Convert 1/6 to a decimal.,Multiplying instead of dividing by 6.
K4,Numbers and Operations,converting fractions to/from decimals,Procedural Error,Convert 2/5 to a decimal.,Multiplying 2 and 5 instead of dividing.
K4,Numbers and Operations,converting fractions to/from decimals,Decimals to Fractions,Convert 0.75 to a fraction.,Mistaking 0.75 as 75/100 without simplifying.
K4,Numbers and Operations,converting fractions to/from decimals,Procedural Error,6 divided by 9,Assuming the result as 0.54 without performing the division
K4,Numbers and Operations,converting fractions to/from decimals,Arithmetic,Convert 5/8 to a decimal.,Dividing 5 by 8 using the long division method inaccurately.
K4,Numbers and Operations,converting fractions to/from decimals,Procedural,Convert 2/5 to a decimal.,Student multiplies 2 by 5 to get 10.
K4,Numbers and Operations,converting fractions to/from decimals,Decimal to Fraction,Convert 0.75 to a fraction in simplest form.,Student converts 0.75 to 75/100 instead of 3/4.
