Grade,Topic,Sub Topic,Challenge Type,Challenge faced,Problem,Student's mistake prompt,Teacher's resolution
K4,Geometry,symmetry,Attention,Loses focus during the activity,Color the symmetrical part of a butterfly.,Colors outside the symmetrical lines due to distraction.,Engage with interactive activities to maintain focus.
K4,Numbers and Operations,writing numbers using base 10 and in expanded form,Language Barrier,Difficulty with the term 'base-10',Write 468 in base-10,Not understanding what base-10 means,"Simplify the language used to explain base-10, and relate it to everyday counting."
K4,Numbers and Operations,rounding large numbers to any place,Misinterpretation,Misunderstanding the question,"Round 6,432 to the nearest ten","Rounding to 6,000 instead of 6,430",Clarify the question by breaking it into smaller parts.
K4,Numbers and Operations,adding and subtracting fractions,Conceptual,Difficulty Finding a Common Denominator,1/4 + 1/3 = 2/7,Adding fractions without finding a common denominator.,Explain the concept of equivalent fractions using visuals like fraction bars. Show how to find the least common denominator (LCD) step-by-step.
K4,Numbers and Operations,multiplication of one by 4 digits and 2 by 2 digits,Conceptual,Misunderstanding the distributive property,4 x (3 + 2),Failing to apply the distributive property correctly.,Break down the property into simpler terms and practice.
K4,Geometry,"points, segments, lines and rays",Visual-Spatial,Difficulty Visualizing Geometric Points,Plot point Y,Drawing a dot with size or shape,"Explain that points are locations, not objects, so they have no size."
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Arithmetic,Trouble with multiplication or addition,Find the perimeter of a rectangle with sides 7 and 4.,Incorrectly adding the sides.,Review basic arithmetic operations.
K4,Numbers and Operations,factors and prime factors,Conceptual,Belief that 0 can be a factor,Is 0 a factor of 10?,Answering 'yes' due to misunderstanding.,Clarify that 0 cannot divide any number.
K4,Geometry,symmetry,Strategic,Lacks strategy in identifying symmetry,Use tools to find symmetry in complex shapes.,Attempts random guesses without a plan.,Teach strategies like folding or using mirrors.
K4,Geometry,"identifying, measuring and classifying angles",Conceptual,Misunderstanding of Angle Relationships,Explain the relationship between angle A and angle B.,Doesn't correctly identify angle relationships.,Discuss different angle relationships with examples.
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Conceptual,Visualizing Complex Irregular Shapes,Calculate the perimeter of a U-shaped figure.,Missing sides when calculating the perimeter.,Trace the outline of the shape to ensure all sides are counted.
K4,Geometry,"identifying, measuring and classifying angles",Procedural,Incorrectly Identifying Adjacent Angles,Identify adjacent angles to angle B.,Selects non-adjacent angles.,Define and show examples of adjacent angles.
K4,Numbers and Operations,factors and prime factors,Procedural,Confusing prime factorization with regular factorization,Prime factorize 30.,"Listing factors like 2, 3, 5, 6, 10, 15.",Clarify that prime factorization lists only prime numbers.
K4,Numbers and Operations,remainders,Memory,Forgets division facts needed to find remainders,Find the remainder of 11 divided by 3.,Forgets the multiplication facts of 3.,Practice multiplication tables to reinforce memory.
K4,Numbers and Operations,writing numbers using base 10 and in expanded form,Attention,Skipping digits in expanded form,Write 789 in expanded form,Writing it as 700 + 80,Encourage reading the number aloud and matching each sound to its digit.
K4,Numbers and Operations,rounding large numbers to any place,Attention,Loses focus on the place value,"Round 8,492 to the nearest ten","Rounds to the nearest hundred instead, 8,500",Encourage focusing on the specific place value by highlighting it.
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Conceptual,Misconception About Units in Area Calculation,Find the area of a rectangle with sides 4 cm each.,"Not converting units correctly, e.g., writing the answer as 16 cm instead of 16 cm².",Area is expressed in square units. Check your units carefully.
K4,Numbers and Operations,multiply fractions by a whole number,Cognitive,Overwhelmed by cognitive load,Multiply 2/3 by 4,Overwhelmed by multiple steps and gives up.,Simplify the problem and reduce steps.
K4,Numbers and Operations,converting fractions to/from decimals,Strategic,Choosing inefficient strategies for conversion.,Convert 4/5 to a decimal.,Using repeated subtraction instead of division.,Teach efficient strategies like division for faster results.
K4,Measurement,converting measurements to different measurement units,Procedural,Overcomplicating simple conversions,Convert 1000 milliliters to liters,Trying to use a complex formula,Simplify the conversion: 1000 ml = 1 L directly.
K4,Measurement,converting measurements to different measurement units,Procedural,Incorrect placement of decimal point in conversions,Convert 2500 grams to kilograms,Writing the answer as 250 kg instead of 2.5 kg,Teach students to move the decimal point three places to the left when converting grams to kilograms: 2500 g = 2.5 kg.
K4,Numbers and Operations,adding and subtracting fractions,Procedural,Skipping the Step of Simplification,2/4 + 3/4 = 5/4,Not simplifying the answer to 1 1/4.,Remind students to always check if the fraction can be simplified at the end.
K4,Numbers and Operations,multiplication of one by 4 digits and 2 by 2 digits,Memory,Forgetting the multiplication table,6 x 7,Unable to recall multiplication table values.,Use songs or rhymes to help memorize multiplication tables.
K4,Numbers and Operations,rounding large numbers to any place,Conceptual,Difficulty Identifying Which Place to Round To,"Round 43,678 to the nearest ten thousand.",Rounding to the nearest hundred instead of ten thousand.,Clarify the difference between each place value with a place value chart.
K4,Data Analysis,displaying a set of data as a line plot,Misconception,Believes each mark on a line plot represents multiple items,Plot the number of birds seen each day.,Thinks one mark equals five birds.,Clarify that each mark represents one item in the context of this problem.
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Conceptual,Understanding Units of Measurement,Calculate the perimeter of a rectangle with sides of 5m and 3m.,"Using incorrect units, such as writing area in square meters but perimeter in meters squared.","Remember, area is in square units, perimeter is in the original units."
K4,Data Analysis,analyzing data from graphs,Procedural,Errors in Data Summarization,Summarizing data from a table into a graph.,"Incorrectly summarizing data, leading to inaccurate graph representation.",Teach proper data summarization techniques and verify accuracy.
K4,Data Analysis,analyzing data from graphs,Misinterpretation,Misjudging Data Importance,"Graph with multiple data sets, some more relevant than others.",Giving equal importance to all data sets regardless of context.,Guide students to evaluate the relevance of each data set within the context of the problem.
K4,Geometry,perpendicular and parallel lines,Visual-Spatial,Difficulty Identifying Parallel Lines in Complex Figures,Identify all pairs of parallel lines in the diagram.,Struggling to find parallel lines in intricate designs.,Break down complex figures into simpler parts to identify parallels.
K4,Geometry,perpendicular and parallel lines,Procedural,Incorrectly Drawing Perpendicular Lines,Draw a perpendicular line from point A to line BC.,Drawing a line that is not at a 90-degree angle.,Demonstrate using a protractor or a right-angle tool to ensure accuracy.
K4,Data Analysis,displaying a set of data as a line plot,Language Barrier,Difficulty understanding the term 'line plot',Create a line plot to show the number of apples each student has.,The student misunderstands 'line plot' as 'drawing a line'.,Clarify what a line plot is with simple language and visuals.
K4,Numbers and Operations,multiply fractions by a whole number,Procedural,Misplacing Decimal Points in Results,Multiply 3 by 1/5,Student writes 0.3 instead of 3/5.,Clarify the difference between decimal and fraction representation.
K4,Numbers and Operations,multiply fractions by a whole number,Strategic,Lack of strategy in solving,Multiply 5/9 by 2,Randomly guesses instead of using a strategy.,Teach simple strategies for solving multiplication problems.
K4,Geometry,perpendicular and parallel lines,Conceptual,Failure to Associate Real-World Examples,Find examples of parallel lines in the classroom.,Unable to identify real-world parallel lines.,Take a classroom tour and point out examples of parallel lines.
K4,Numbers and Operations,adding and subtracting fractions,Procedural,Incorrect Borrowing in Subtraction,1 1/4 - 3/4 = 1/2,Not borrowing correctly from the whole number.,Demonstrate borrowing by converting the whole number into a fraction first.
K4,Measurement,"measurement word problems involving distance, capacity, weight, time and money",Sequential Processing,Difficulty following problem order,A bus leaves at 3 PM and arrives at 5 PM. How long is the journey?,Mixing up departure and arrival times.,Teach to sequence events using timelines.
K4,Numbers and Operations,converting fractions to/from decimals,Procedural,Misalignment of numerators and denominators,4/9 = 0.44,Incorrect division due to misalignment.,Practice aligning numbers in long division.
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Language Barrier,Understanding geometric terminology,Calculate the perimeter of a rectangle with a length of 5 units and a width of 3 units.,Not knowing what 'perimeter' means.,Explain that 'perimeter' means the total distance around the shape.
K4,Numbers and Operations,remainders,Procedural,Incorrectly Handling Large Numbers,53 ÷ 8,Student struggles with division involving larger numbers.,Break down large numbers into manageable parts for division.
K4,Numbers and Operations,remainders,Conceptual,Not Recognizing Division Scenarios,"If you have 11 pencils and want to give 2 to each student, how many students can receive pencils?",Student doesn't identify division scenario.,Highlight division contexts in everyday situations.
K4,Numbers and Operations,multiply fractions by a whole number,Conceptual,Not Understanding Fraction as Division,Multiply 4 by 1/2,Student thinks 1/2 is two separate numbers.,Explain fractions as division of the numerator by the denominator.
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Procedural,Forgetting to Add Units to Answers,Calculate the perimeter of a rectangle with sides 4m and 6m.,Writing answer as 20 instead of 20 meters.,Always include units to show what your answer means.
K4,Numbers and Operations,converting fractions to/from decimals,Conceptual,Difficulty identifying terminating vs repeating decimals,7/9 = 0.78,Not recognizing repeating decimals accurately.,Demonstrate the difference between terminating and repeating decimals.
K4,Numbers and Operations,factors and prime factors,Procedural,Incorrect use of factor trees,Use a factor tree to find the prime factors of 28.,Missing a prime factor or stopping prematurely.,Demonstrate completing a factor tree fully by branching until all numbers are prime.
K4,Geometry,perpendicular and parallel lines,Misinterpretation,Confusing Line Types,Identify the types of lines in the figure.,"Mixing up lines such as rays, segments, and full lines.",Provide clear definitions and examples of each line type.
K4,Data Analysis,analyzing data from graphs,Procedural,Incorrectly Reading Graph Axes,Bar graph with a vertical axis labeled 0 to 10.,Reading the vertical axis values incorrectly.,Guide students to carefully read and understand both axes before analyzing the graph.
K4,Numbers and Operations,remainders,Conceptual,Assuming Remainder is Always Smaller than Divisor,"If 16 ÷ 5 has a remainder, what could it be?",Student states remainder could be 6.,Explain that the remainder must be less than the divisor.
K4,Numbers and Operations,writing numbers using base 10 and in expanded form,Conceptual,Difficulty with zero in base-10,Write 204 in base-10,"Ignoring zero, writing as 2 + 4",Demonstrate how zero acts as a placeholder to maintain correct place value.
K4,Numbers and Operations,writing numbers using base 10 and in expanded form,Memory,Forgetting to write all components,Write 432 in expanded form,Writing it as 400 + 2,Encourage double-checking work and using a checklist to ensure all parts are included.
K4,Numbers and Operations,remainders,Procedural,Forgetting to Double-Check Work,42 ÷ 6,Student writes 7 R0 without checking.,Encourage reviewing work by multiplying back.
K4,Geometry,"points, segments, lines and rays",Procedural,Forgetfulness in Naming a Ray,Label the ray starting from point A and passing through point B,Labeling the ray as BA instead of AB,Review the naming convention: a ray starts from the endpoint and extends through the second point.
K4,Geometry,symmetry,Analytical,Difficulty Analyzing Overlapping Symmetrical Lines,Find all overlapping symmetrical lines.,Missing some overlapping symmetrical lines.,Analyze each overlap carefully for symmetry.
K4,Data Analysis,displaying a set of data as a line plot,Strategic,Struggling to choose the correct scale for the plot,Plot the number of candies collected by each child.,Uses a scale that doesn't fit all data points.,Teach the student to choose a scale that fits the data range.
K4,Numbers and Operations,division of 4 digit numbers by 1-digit numbers,Analytical,Difficulty analyzing remainder importance,4893 ÷ 5,Ignoring the remainder and stopping at quotient.,Explain the importance of remainders contextually.
K4,Measurement,converting measurements to different measurement units,Procedural,Difficulty with multi-step conversions,Convert 5 kilometers to centimeters,Stopping at meters,Continue conversion to centimeters: 5 km x 100000 cm/km.
K4,Geometry,area and perimeter of rectangles and irregular rectangular shapes,Procedural,Incorrectly Adding Side Lengths,Find the perimeter of a rectangle with sides of 9 units and 5 units.,"Adding sides incorrectly, such as 9 + 5 = 13.",Ensure you add both pairs of sides for the perimeter.
K4,Geometry,perpendicular and parallel lines,Carelessness,Overlooks obvious line characteristics.,Identify all perpendicular lines.,Misses lines that form right angles due to haste.,Encourage careful review of work.
K4,Numbers and Operations,converting fractions to/from decimals,Cognitive,Overwhelmed by the concept of fractions and decimals.,Convert 9/10 to a decimal.,Unable to grasp the idea of conversion at a cognitive level.,Break down the concept into simple terms and use real-life examples.
K4,Numbers and Operations,adding and subtracting fractions,Language Barrier,Understanding Mathematical Terminology,3/5 + 2/5,Confusing numerator and denominator.,Use visuals and repeated verbal reinforcement of terms like numerator and denominator.
K4,Numbers and Operations,factors and prime factors,Procedural,Forgetting to simplify the factors list,List the factors of 24.,"Listing repeated factors like 2, 2, 3, 4.",Guide students to consolidate and list unique factors only.
K4,Geometry,"points, segments, lines and rays",Attention,Overlooking Line Directions,Draw ray starting at point P,Drawing a ray in the wrong direction,Focus on the initial point and direction the ray goes.
K5,Numbers and Operations,divide fractions by whole numbers,Language Barrier,Difficulty understanding math vocabulary,3/4 ÷ 2 = ?,Student does not understand the term 'divide'.,Use simple language and visual aids to explain division as sharing or grouping.
K5,Numbers and Operations,multiplying and dividing large whole numbers in columns,Visual-Spatial,Misaligning numbers in columns,Divide 7890 by 12,"Misplaces digits, leading to incorrect answers.",Use grid paper to help align numbers properly.
K5,Data Analysis,create line plots to display data,Procedural,Inconsistent Use of Symbols,Create a line plot for the number of pets each student has.,Switching between different symbols for data points.,Encourage consistent use of symbols for clarity.
K5,Measurement,multi-step word problems in measurement,Misinterpretation,Misunderstanding the context of a word problem,A rope is 10 meters long. You cut 4 meters. How much rope is left?,Adding instead of subtracting due to misreading 'cut'.,Clarify vocabulary and use real-life examples to explain.
K5,Numbers and Operations,divide fractions by whole numbers,Carelessness,Making careless errors,Divide 4/5 by 2,Simple arithmetic mistakes in calculation,Promote double-checking work and attention to detail.
K5,Data Analysis,create line plots to display data,Conceptual,Misunderstanding Line Plot Symbols,Use Xs to mark the number of red cars seen each day.,Using circles instead of Xs for data points.,Explain the conventional symbols used in line plots and their meanings.
K5,Numbers and Operations,exponents and powers of ten,Language Barrier,Understanding mathematical terms related to exponents,2^3 means 2 multiplied by itself 3 times,Confusing 'power' with 'multiply' or other terms,Use simple language and relate terms to everyday concepts.
K5,Geometry,rectangular prisms,Misinterpretation,Misunderstanding the task instructions,Match the shape to its name: rectangular prism.,Selecting a rectangle because of misunderstanding.,Clarify instructions using simple examples and visual aids.
K5,Numbers and Operations,multiply fractions by fractions and / or whole numbers,Visual-Spatial,Struggles with visualizing fraction multiplication.,Multiply 1/3 by 1/4.,Confuses the area of the resulting fraction.,Use visual fraction models to demonstrate the concept.
K5,Numbers and Operations,"reading, writing and comparing decimals",Conceptual,Misunderstanding the Role of Zero in Decimals,Is 0.50 the same as 0.5?,Thinking they are different because of the extra zero.,Discuss the significance of trailing zeros and how they don't change the value.
K5,Numbers and Operations,multiplying and dividing large whole numbers in columns,Calculation Error,Errors in arithmetic calculations,Multiply 678 x 9,Incorrectly multiplying numbers,Review basic multiplication skills.
K5,Geometry,coordinate planes,Procedural,Plotting Without a Grid Reference,"Plot (3, 4) on a blank sheet.",Struggling to place points without grid lines.,Provide a grid template or guide to help with placement.
K5,Geometry,coordinate planes,Arithmetic,Adding or subtracting coordinates incorrectly,"Move point C from (2, 3) to (5, 6).",Miscalculates the movement by adding or subtracting incorrectly.,Provide step-by-step guidance on simple arithmetic operations.
K5,Numbers and Operations,word problems involving fractions and decimals,Carelessness,Makes simple errors due to rushing,Subtract 0.6 from 1.0.,Writes 0.4 as 0.04 due to carelessness.,Encourage double-checking work for errors.
K5,Geometry,rectangular prisms,Conceptual,Difficulty understanding proportionality in scaling,What happens to the volume if each dimension doubles?,Thinking volume only doubles.,Illustrate how each dimension affects overall scaling.
K5,Geometry,rectangular prisms,Procedural,Incorrectly applying geometric transformations,Rotate the prism 90 degrees.,Rotating incorrectly or not at all.,Demonstrate rotations using a physical model.
K5,Numbers and Operations,multiplying and dividing by powers of ten,Visual-Spatial,Difficulty visualizing the movement of decimal points.,Multiply 4.5 by 10^1.,Misplacing the decimal point.,Use a visual aid to show how the decimal point moves.
K5,Numbers and Operations,"add, subtract, multiply and divide decimals",Conceptual,Understanding Zero's Role in Decimals,0.60 as 0.6,Removing zeros without considering their place value importance.,Discuss when zeros can be removed and when they are necessary for place value.
K5,Measurement,multi-step word problems in measurement,Procedural,Mistake in Rounding Numbers,Round 4.567 to the nearest whole number.,"Rounding incorrectly, not following rules.",Teach rounding rules and provide examples.
K5,Measurement,multi-step word problems in measurement,Arithmetic,Errors in basic arithmetic calculations,A piece of fabric is 150 cm long. You cut it into three pieces of 50 cm each. How much is left?,Incorrectly subtracting the total length after cutting.,Review basic subtraction and addition operations.
K5,Numbers and Operations,"add, subtract, multiply and divide decimals",Conceptual,Misunderstanding Addition of Decimals,0.6 + 0.06,Adding as if ignoring decimal places.,Discuss the importance of place value in addition of decimals.
K5,Numbers and Operations,divide fractions by whole numbers,Arithmetic,Errors in Subtraction Instead of Division,8/9 ÷ 3,Subtracts instead of divides.,Reinforce the difference between subtraction and division.
K5,Numbers and Operations,add and subtract fractions with unlike denominators,Misinterpretation,Misunderstanding the problem requirements,7/10 + 1/4,Adding fractions without changing denominators.,Explain why common denominators are necessary.
K5,Numbers and Operations,rectangular arrays,Cognitive,Understanding the concept of arrays,What is an array?,The student cannot conceptualize an array as organized rows and columns.,Use tangible objects to illustrate arrays.
K5,Numbers and Operations,word problems involving fractions and decimals,Procedural,Incorrectly Dividing Fractions,Divide 1/2 by 1/4.,Student multiplies instead of multiplying by the reciprocal.,Demonstrate division by multiplying by the reciprocal.
K5,Data Analysis,create line plots to display data,Memory,Forgetting steps in creating a line plot.,Create a line plot with data about favorite colors.,"Omitting parts of the line plot, like labels or data points.",Repeat the steps frequently and use mnemonic devices.
K5,Measurement,multi-step word problems in measurement,Procedural,Forgetting to Simplify the Answer,"If a rope is cut into 3 pieces of 2 m each, how long was the rope originally?",Calculating the total as 6 meters but not simplifying the process.,Guide students to simplify their answers and check their work.
K5,Numbers and Operations,add and subtract fractions with unlike denominators,Arithmetic,Errors in Basic Subtraction,9/10 - 4/6,Basic subtraction errors when dealing with adjusted numerators.,Practice basic subtraction with various examples.
K5,Numbers and Operations,rectangular arrays,Logical Reasoning,Reasoning through the structure of an array,"If an array has 4 rows, how many columns?",Student guesses column number without logical deduction.,Think about what is given and what you need.
K5,Numbers and Operations,divide fractions by whole numbers,Misconception,Belief that fractions cannot be divided,Divide 1/4 by 2,Thinks that fractions should be multiplied instead.,Dispel misconceptions with clear explanations and examples.
K5,Measurement,convert measurements between different types of units (metric and customary),Calculation Error,Arithmetic Mistakes in Conversion,Convert 15 feet to inches.,Incorrectly multiplies 15 by 10 instead of 12.,Review basic multiplication and how it applies to conversions. Provide practice problems to improve accuracy.
K5,Numbers and Operations,word problems involving fractions and decimals,Procedural,Incorrect Borrowing in Subtraction of Decimals,Subtract 2.5 from 4.3.,Student writes 2.8 instead of 1.8.,Demonstrate borrowing in decimal subtraction.
K5,Geometry,coordinate planes,Logical Reasoning,Confusing logical order of steps,"Find the midpoint between (2, 3) and (4, 5).",Attempts to subtract rather than finding an average.,Guide through logical steps of midpoint calculation.
K5,Numbers and Operations,add and subtract fractions with unlike denominators,Carelessness,Simple mistakes due to lack of attention,5/12 + 2/9,Correct steps but wrong arithmetic due to oversight.,Encourage double-checking work.
K5,Numbers and Operations,multiplying and dividing by powers of ten,Visual-Spatial,Difficulty aligning numbers correctly,Divide 4000 by 10^2,The student misaligns numbers while dividing.,Use graph paper to help align numbers correctly or provide lined paper for practice.
K5,Geometry,coordinate planes,Procedural,Inconsistency in Labeling Quadrants,Label the quadrants on a coordinate plane.,Labeling quadrants inconsistently or incorrectly.,Use a mnemonic or visual guide to remember quadrant order.
K5,Geometry,rectangular prisms,Arithmetic,"Confusion in counting faces, edges, and vertices",How many edges does a rectangular prism have?,Counting incorrectly due to arithmetic confusion.,"Guide them through counting using a model or image, pointing out each part systematically."
K5,Geometry,volumes of 3 dimensional shapes,Sequential Processing,Difficulty following steps in the correct order,Find the volume of a pyramid with a square base.,Mixing up the sequence of steps.,Use flowcharts or lists to outline the process.
K5,Numbers and Operations,add and subtract fractions with unlike denominators,Strategic,Choosing inefficient strategies,5/9 + 2/3,Using addition before finding a common denominator.,Discuss efficient strategies and their benefits.
K5,Geometry,rectangular prisms,Conceptual,Difficulty understanding dimensionality,What does 3D mean for shapes?,Thinking 3D means three shapes together.,"Explain 3D as having length, width, and height."
K5,Numbers and Operations,"add, subtract, multiply and divide decimals",Procedural,Inconsistent Use of Decimal Points,0.3 + 0.70,Inconsistently placing or ignoring decimal points.,Practice consistent placement of decimal points in various operations.
K5,Numbers and Operations,"reading, writing and comparing decimals",Procedural,Error in Multiplying Decimals,Multiply 0.7 by 0.6.,Resulting in 42 instead of 0.42.,Count decimal places in the factors for final placement in the product.
K5,Numbers and Operations,"add, subtract, multiply and divide decimals",Conceptual,Misunderstanding Decimal Representation,0.75 as 75%,Confusing decimal and percentage representations.,Explain the conversion process between decimals and percentages.
K5,Data Analysis,create line plots to display data,Misconception,Thinking a line plot connects points with lines,"Create a line plot for the data: [5, 5, 6].",The student connects the points with lines like a line graph.,Clarify that line plots do not connect data points with lines.
K5,Numbers and Operations,divide fractions by whole numbers,Conceptual,Confusing Division with Fractions,6/7 ÷ 2,Thinks the operation is a fraction itself.,"Clarify how fractions are used in division, not the operation itself."
K5,Numbers and Operations,divide fractions by whole numbers,Procedural,Failure to Simplify Final Answer,1/2 ÷ 3 = 1/6,Leaves the answer unsimplified.,Remind students to check if the final fraction can be simplified.
K5,Numbers and Operations,"reading, writing and comparing decimals",Procedural,Incorrect Decimal Conversion to Percentage,Convert 0.03 to a percent.,Writing 3% instead of 0.3%.,Show how to multiply by 100 to convert decimals to percentages.
K5,Numbers and Operations,exponents and powers of ten,Cognitive,Understanding the abstract concept of exponents,Why is 2^3 not the same as 3^2?,Confusing base with exponent,Simplify concepts using relatable examples.
K5,Numbers and Operations,divide fractions by whole numbers,Memory,Forgetting fraction division rules,Divide 2/5 by 4,Forgets to invert and multiply,Create mnemonic devices to remember rules.
K5,Numbers and Operations,add and subtract fractions with unlike denominators,Analytical,Overcomplicating the problem,2/5 + 1/10 = ?,Tries to create a more complex solution than necessary.,Simplify the process and focus on the basics.
K5,Measurement,convert measurements between different types of units (metric and customary),Memory,Difficulty Remembering Common Conversions,Convert 2 quarts to cups.,Forgets how many cups are in a quart.,Provide mnemonic devices or songs to recall common conversions.
K5,Geometry,volumes of 3 dimensional shapes,Language Barrier,Difficulty understanding geometric terminology,Calculate the volume of a cylinder with a radius of 3 cm and height of 5 cm.,Confusing radius with diameter due to unfamiliarity with terms.,Clarify the difference between radius and diameter using simple language and visuals.
K5,Geometry,coordinate planes,Attention,Overlooking Zero Coordinates,"Plot (0, 3) and (3, 0).",Plotting zero coordinates incorrectly.,Emphasize that zero means no movement in that direction.
K5,Geometry,categorizing 2D shapes by various attributes,Strategic,Lack of strategy in approaching shape categorization,Group shapes based on more than one attribute.,"Groups without a clear strategy, leading to errors.",Teach strategic grouping methods.
K5,Numbers and Operations,"add, subtract, multiply and divide decimals",Calculation Error,Calculation Mistakes with Decimal Multiplication,0.4 x 0.5,Incorrect calculation of product.,Focus on accuracy in multiplication steps.
K5,Measurement,multi-step word problems in measurement,Memory,Forgetting previous steps in multi-step problems,"First, measure the width with a ruler, then add 2 more units. What's the total?",Forgetting the initial measurement before adding.,Encourage using written notes or sketches to remember steps.
K5,Numbers and Operations,use of parenthesis in expressions,Language Barrier,Struggling with Instructional Language,Simplify: (6 + 4) - (2 x 3),Misunderstanding 'simplify' and performing incorrect operations.,Use visuals and step-by-step verbal instructions.
K5,Numbers and Operations,multiplying and dividing by powers of ten,Procedural,Difficulty shifting between operations,100 x 10 ÷ 10,Mixing up operations and getting incorrect results.,Practice switching between multiplication and division.
K5,Numbers and Operations,exponents and powers of ten,Conceptual,Confusing negative exponents with negative numbers,10^-1 = -10,Thinking negative exponent results in negative number.,Explain that negative exponent indicates reciprocal.
K5,Numbers and Operations,multiply fractions by fractions and / or whole numbers,Conceptual,Misunderstanding fraction as division,1/2 * 2,Confusing the division aspect of fractions with multiplication.,Clarify fraction as a part of a whole rather than division.
K5,Measurement,multi-step word problems in measurement,Visual-Spatial,Difficulty organizing visual information,"Measure the length using blocks. If 3 blocks measure 6 units, how much do 5 blocks measure?",Misaligning blocks which leads to incorrect measurement.,Use visual guides to help align blocks correctly.
K5,Numbers and Operations,use of parenthesis in expressions,Procedural,Inconsistent Parentheses Use in Repeated Problems,(2 + 3) x 2,Solving similarly structured problems inconsistently.,Practice similar problems to build consistency.
K5,Numbers and Operations,use of parenthesis in expressions,Conceptual,Assuming Parentheses Always Indicate Multiplication,(4 + 3),Thinking parentheses always mean to multiply numbers.,Clarify the different roles of parentheses in math.
K5,Geometry,coordinate planes,Attention,Losing focus when plotting points,"Plot the point (3, 2) on the coordinate plane.",Starts plotting but gets distracted and plots incorrectly.,Encourage focusing on one step at a time and provide frequent breaks.
K5,Geometry,categorizing 2D shapes by various attributes,Language Barrier,Difficulty with Shape Attributes,Describe the edges of a triangle.,Using incorrect terms like 'corners' for edges.,Clarify attribute terminology with examples.
K5,Geometry,coordinate planes,Procedural,Inability to Draw Accurate Axes,Draw the x-axis and y-axis on a blank grid.,Drawing crooked or uneven axes.,Provide tools such as rulers or pre-marked grids.
K5,Numbers and Operations,use of parenthesis in expressions,Language Barrier,Difficulty with Multistep Directions,Simplify: (5 + 2) x (3 - 1),Misunderstanding 'simplify' leading to wrong steps.,Simplify instructions and use visuals.
K5,Geometry,coordinate planes,Procedural,Plotting Points Incorrectly,"Plot the point (3, 2) on the coordinate plane.","Plotting the point (2, 3) instead of (3, 2).","Reinforce the order of coordinates, 'x comes before y' like 'abc'."
K5,Numbers and Operations,multiplying and dividing large whole numbers in columns,Procedural,Misplacing Decimals in Division,123.4 ÷ 4,Placing the decimal point incorrectly in the quotient.,Review decimal placement rules in division.
K5,Numbers and Operations,divide fractions by whole numbers,Strategic,Lack of strategy in solving problems,Divide 1/3 by 2,Randomly tries operations without a plan,Guide students in setting up problem-solving strategies.
K5,Measurement,convert measurements between different types of units (metric and customary),Procedural,Forgetting to Adjust Decimal Places,Convert 5.5 liters to milliliters.,Forgets to move the decimal point when converting.,Emphasize the importance of adjusting decimal places in conversions.
K5,Numbers and Operations,divide fractions by whole numbers,Arithmetic,Incorrect multiplication after inversion,Divide 3/5 by 3,Multiplies incorrectly after flipping the whole number.,Review multiplication of fractions and provide practice exercises.
K5,Numbers and Operations,multiply fractions by fractions and / or whole numbers,Procedural,Incorrectly reducing fractions before multiplication,4/6 * 2/3,Reducing fractions incorrectly before multiplying.,Ensure fraction reduction is done accurately before multiplication.
K5,Numbers and Operations,"reading, writing and comparing decimals",Misconception,Believes decimals work like whole numbers,0.7 vs 0.70,Thinks 0.70 is greater than 0.7,Correct the misunderstanding about decimal equivalence.
K5,Numbers and Operations,"add, subtract, multiply and divide decimals",Conceptual,Confusion in Decimal Multiplication,0.3 x 0.5,Ignoring the decimal during multiplication.,Show the difference in outcomes with and without decimals.
K5,Geometry,categorizing 2D shapes by various attributes,Arithmetic,Mixing up the count of sides or vertices in shapes,Count the vertices of a hexagon.,Counts incorrectly due to arithmetic confusion.,Guide the student through counting exercises.
K5,Numbers and Operations,divide fractions by whole numbers,Attention,Losing focus during multi-step problems,Divide 5/6 by 3,Forgets to invert the whole number and multiply.,"Keep each step clear and concise, and provide frequent check-ins."
K5,Numbers and Operations,multiplying and dividing by powers of ten,Procedural,Incorrectly dividing by powers of ten,300 ÷ 100,Providing an incorrect answer like 3 instead of 3.,Work on using place value understanding in division.
K6,Statistics and Probability,Understanding probability concepts and predicting outcomes,Cognitive,Overwhelmed by multiple concepts in probability,Calculate the combined probability of drawing a red card or a face card.,Confused by overlapping events and conjunctions.,Simplify the problem and focus on one concept at a time.
K6,Statistics and Probability,Understanding probability concepts and predicting outcomes,Language Barrier,Misunderstanding Probability Terminology,Confusing 'likely' and 'certain'.,Using 'certain' to describe likely events.,Clarify terms by providing definitions and examples.
K6,Numbers and Operations,Extending the number system to include negative numbers,Procedural,Struggling with complex expressions involving negatives,Simplifying 3 - 2(-4 + 3) incorrectly,Missteps in applying order of operations with negatives.,"Review PEMDAS, highlighting how to handle negatives in complex expressions."
K6,Geometry,Understanding and applying the concept of nets for 3D figures,Memory,Forgetting the properties of 3D shapes,List the properties of a cube.,Forgetting that all faces of a cube are squares.,Review the properties of common 3D shapes regularly.
